DATE                TIME                CIRCUIT             COUNTY              CASENUMBER
---------------------------------------------------------------------------------------------------------
06/22/2023          02:31:10 PM         Tenth               Polk                53-2023-DR-009988-0000-LK
06/22/2023          02:31:56 PM         Tenth               Polk                53-2023-DR-009988-0000-LK
06/22/2023          02:32:47 PM         Tenth               Polk                53-2023-DR-009988-0000-LK
06/22/2023          02:33:05 PM         Eighteenth          Brevard             05-2022-DR-000098-XXXX-XX
06/28/2023          09:21:37 AM         Eighteenth          Brevard             05-2002-DR-002022-XXXX-XX
06/28/2023          09:28:48 AM         Eighteenth          Brevard             05-2002-DR-002022-XXXX-XX
06/28/2023          09:29:40 AM         Tenth               Hardee              25-2022-DR-000008-FCAX-MX
06/28/2023          09:37:36 AM         Tenth               Hardee              25-2022-DR-000008-FCAX-MX
06/28/2023          09:44:36 AM         Tenth               Hardee              25-2002-DR-002022-FCAX-MX
06/28/2023          09:45:18 AM         Eighteenth          Brevard             05-2022-DR-000008-XXXX-XX
06/28/2023          10:05:16 AM         Eighteenth          Brevard             05-2022-DR-000008-XXXX-XX
06/28/2023          10:06:01 AM         Eighteenth          Brevard             05-2022-DR-000008-XXXX-XX
06/28/2023          10:07:13 AM         Eighteenth          Brevard             05-2022-DR-000008-XXXX-XX
06/28/2023          10:10:21 AM         Eighteenth          Brevard             05-2022-DR-002022-XXXX-XX
06/28/2023          10:12:31 AM         Eighteenth          Brevard             05-2022-DR-002022-XXXX-XX
06/28/2023          10:15:08 AM         Tenth               Hardee              25-2022-DR-000008-FCAX-MX
06/28/2023          10:16:23 AM         Tenth               Hardee              25-2022-DR-000008-FCAX-MX
06/28/2023          10:17:04 AM         Tenth               Hardee              25-2022-DR-000098-FCAX-MX
06/28/2023          10:19:42 AM         Eighteenth          Seminole            59-2002-DR-000009-XXXX-XX
06/28/2023          10:23:47 AM         Tenth               Highlands           28-2022-DR-002022-DRAX-MX
06/28/2023          10:27:31 AM         Eighteenth          Brevard             05-2022-DR-000008-XXXX-XX
06/28/2023          10:45:22 AM         Eighteenth          Brevard             05-2022-DR-000008-XXXX-XX
06/28/2023          10:46:05 AM         Tenth               Hardee              25-2002-DR-000098-FCAX-MX
06/28/2023          10:47:47 AM         Eighteenth          Seminole            59-2002-DR-001234-XXXX-XX
06/28/2023          10:49:45 AM         Tenth               Hardee              25-2022-DR-000098-FCAX-MX
06/28/2023          10:51:05 AM         Tenth               Hardee              25-2022-DR-000098-FCAX-MX
06/28/2023          10:51:35 AM         Tenth               Hardee              25-2022-DR-000098-FCAX-MX
06/28/2023          10:52:46 AM         Tenth               Hardee              25-2022-DR-000098-FCAX-MX
06/28/2023          10:53:09 AM         Tenth               Hardee              25-2022-DR-000098-FCAX-MX
06/28/2023          10:53:48 AM         Tenth               Hardee              25-2022-DR-000098-FCAX-MX
06/28/2023          10:55:56 AM         Tenth               Hardee              25-2022-DR-000098-FCAX-MX
06/28/2023          10:56:20 AM         Tenth               Hardee              25-2022-DR-000098-FCAX-MX
06/28/2023          10:56:40 AM         Tenth               Hardee              25-2022-DR-000098-FCAX-MX
06/28/2023          10:58:48 AM         Tenth               Hardee              25-2022-DR-000098-FCAX-MX
06/28/2023          10:59:07 AM         Tenth               Hardee              25-2022-DR-000098-FCAX-MX
06/28/2023          11:01:17 AM         Tenth               Hardee              25-2022-DR-000098-FCAX-MX
06/28/2023          11:01:49 AM         Tenth               Hardee              25-2022-DR-000098-FCAX-MX
06/28/2023          11:02:34 AM         Tenth               Hardee              25-2022-DR-000098-FCAX-MX
06/28/2023          11:02:58 AM         Tenth               Hardee              25-2022-DR-000098-FCAX-MX
06/28/2023          11:03:22 AM         Tenth               Hardee              25-2022-DR-000098-FCAX-MX
06/28/2023          11:03:54 AM         Tenth               Hardee              25-2022-DR-000098-FCAX-MX
06/28/2023          11:04:40 AM         Tenth               Hardee              25-2022-DR-000098-FCAX-MX
06/28/2023          11:05:10 AM         Tenth               Hardee              25-2022-DR-000098-FCAX-MX
06/28/2023          11:06:54 AM         Tenth               Hardee              25-2022-DR-000098-FCAX-MX
06/28/2023          11:07:23 AM         Tenth               Hardee              25-2022-DR-000098-FCAX-MX
06/28/2023          11:07:40 AM         Tenth               Hardee              25-2022-DR-000098-FCAX-MX
06/28/2023          11:08:01 AM         Tenth               Hardee              25-2022-DR-000098-FCAX-MX
06/28/2023          11:08:33 AM         Tenth               Hardee              25-2022-DR-000098-FCAX-MX
06/28/2023          11:08:59 AM         Tenth               Hardee              25-2022-DR-000098-FCAX-MX
06/28/2023          11:09:34 AM         Tenth               Hardee              25-2022-DR-000098-FCAX-MX
